Image Name,Width,Height,Aspect Ratio
img_004047.jpg,137,49,2.795918367346939
img_010252.jpg,144,48,3.0
img_002913.jpg,135,48,2.8125
img_002870.jpg,84,32,2.625
img_010570.jpg,120,43,2.7906976744186047
img_013769.jpg,132,45,2.933333333333333
img_012651.jpg,122,41,2.975609756097561
img_011175.jpg,139,46,3.0217391304347827
img_010270.jpg,129,46,2.8043478260869565
img_011310.jpg,126,38,3.3157894736842106
img_000096.jpg,137,48,2.8541666666666665
img_014642.jpg,142,49,2.8979591836734695
img_013047.jpg,124,42,2.9523809523809526
img_000965.jpg,136,51,2.6666666666666665
img_002177.jpg,146,55,2.6545454545454548
img_014399.jpg,138,51,2.7058823529411766
img_000941.jpg,131,48,2.7291666666666665
img_004867.jpg,136,49,2.7755102040816326
img_011516.jpg,134,48,2.7916666666666665
img_004304.jpg,139,49,2.836734693877551
img_003574.jpg,139,49,2.836734693877551
img_000440.jpg,168,63,2.6666666666666665
img_002863.jpg,74,27,2.740740740740741
img_003748.jpg,117,42,2.7857142857142856
img_001616.jpg,118,43,2.744186046511628
img_002726.jpg,118,42,2.8095238095238093
img_003581.jpg,143,50,2.86
img_012447.jpg,89,32,2.78125
img_001843.jpg,135,49,2.7551020408163267
img_001822.jpg,136,49,2.7755102040816326
img_002798.jpg,130,47,2.765957446808511
img_012326.jpg,126,45,2.8
img_003722.jpg,135,48,2.8125
img_003403.jpg,123,47,2.617021276595745
img_002043.jpg,137,49,2.795918367346939
img_011574.jpg,131,48,2.7291666666666665
img_012546.jpg,132,45,2.933333333333333
img_011971.jpg,134,46,2.9130434782608696
img_000855.jpg,119,46,2.5869565217391304
img_012271.jpg,129,44,2.9318181818181817
img_000442.jpg,130,45,2.888888888888889
img_000617.jpg,123,45,2.7333333333333334
img_012795.jpg,151,54,2.7962962962962963
img_002501.jpg,131,49,2.673469387755102
img_014156.jpg,133,45,2.9555555555555557
img_004499.jpg,139,51,2.7254901960784315
img_002022.jpg,133,50,2.66
img_011026.jpg,129,46,2.8043478260869565
img_010852.jpg,121,42,2.880952380952381
img_001593.jpg,123,46,2.6739130434782608
img_012452.jpg,124,44,2.8181818181818183
img_011840.jpg,170,59,2.8813559322033897
img_003607.jpg,139,48,2.8958333333333335
img_003699.jpg,142,48,2.9583333333333335
img_012406.jpg,128,44,2.909090909090909
img_013850.jpg,134,45,2.977777777777778
img_004821.jpg,134,50,2.68
img_014859.jpg,135,48,2.8125
img_004164.jpg,137,50,2.74
img_004019.jpg,84,32,2.625
img_004491.jpg,139,48,2.8958333333333335
img_011991.jpg,125,44,2.840909090909091
img_001823.jpg,132,49,2.693877551020408
img_013689.jpg,117,43,2.7209302325581395
img_010219.jpg,102,34,3.0
img_004316.jpg,121,43,2.813953488372093
img_000826.jpg,134,48,2.7916666666666665
img_002207.jpg,125,46,2.717391304347826
img_001598.jpg,130,48,2.7083333333333335
img_014528.jpg,135,49,2.7551020408163267
img_004318.jpg,130,45,2.888888888888889
img_002812.jpg,115,43,2.6744186046511627
img_014591.jpg,139,50,2.78
img_013242.jpg,102,36,2.8333333333333335
img_014912.jpg,143,52,2.75
img_014889.jpg,140,48,2.9166666666666665
img_012302.jpg,138,48,2.875
img_013299.jpg,135,47,2.872340425531915
img_011829.jpg,132,49,2.693877551020408
img_014923.jpg,137,48,2.8541666666666665
img_010531.jpg,128,45,2.8444444444444446
img_002279.jpg,133,49,2.7142857142857144
img_002755.jpg,132,47,2.8085106382978724
img_011690.jpg,139,49,2.836734693877551
img_013100.jpg,127,44,2.8863636363636362
img_002882.jpg,78,30,2.6
img_004127.jpg,133,49,2.7142857142857144
img_002947.jpg,134,48,2.7916666666666665
img_004458.jpg,86,32,2.6875
img_002819.jpg,126,45,2.8
img_014628.jpg,143,48,2.9791666666666665
img_003307.jpg,129,47,2.74468085106383
img_010590.jpg,113,37,3.054054054054054
img_003840.jpg,137,49,2.795918367346939
img_000346.jpg,134,49,2.7346938775510203
img_014759.jpg,125,42,2.9761904761904763
img_000794.jpg,137,44,3.1136363636363638
img_011889.jpg,133,47,2.8297872340425534
img_002633.jpg,129,44,2.9318181818181817
img_004578.jpg,139,50,2.78
img_003694.jpg,140,49,2.857142857142857
img_000448.jpg,124,45,2.7555555555555555
img_011411.jpg,123,44,2.7954545454545454
img_014186.jpg,122,43,2.8372093023255816
img_010085.jpg,130,44,2.9545454545454546
img_013635.jpg,101,37,2.72972972972973
img_013876.jpg,129,47,2.74468085106383
img_011878.jpg,137,47,2.9148936170212765
img_011693.jpg,126,45,2.8
img_001282.jpg,128,48,2.6666666666666665
img_014441.jpg,138,47,2.9361702127659575
img_000856.jpg,124,46,2.6956521739130435
img_011336.jpg,137,48,2.8541666666666665
img_001169.jpg,102,38,2.6842105263157894
img_010770.jpg,93,34,2.735294117647059
img_001082.jpg,107,41,2.6097560975609757
img_004307.jpg,124,45,2.7555555555555555
img_010049.jpg,126,45,2.8
img_011605.jpg,131,47,2.7872340425531914
img_001272.jpg,128,48,2.6666666666666665
img_000531.jpg,126,45,2.8
img_014704.jpg,132,47,2.8085106382978724
img_003456.jpg,146,48,3.0416666666666665
img_011865.jpg,137,50,2.74
img_004803.jpg,112,41,2.731707317073171
img_004111.jpg,135,46,2.9347826086956523
img_004764.jpg,139,47,2.9574468085106385
img_000786.jpg,125,44,2.840909090909091
img_013220.jpg,131,46,2.847826086956522
img_011373.jpg,131,47,2.7872340425531914
img_000910.jpg,133,48,2.7708333333333335
img_004133.jpg,142,52,2.730769230769231
img_014793.jpg,144,52,2.769230769230769
img_010426.jpg,98,35,2.8
img_013750.jpg,89,34,2.6176470588235294
img_013278.jpg,125,46,2.717391304347826
img_004604.jpg,141,49,2.877551020408163
img_011478.jpg,118,44,2.6818181818181817
img_003633.jpg,125,46,2.717391304347826
img_001308.jpg,130,47,2.765957446808511
img_004413.jpg,131,47,2.7872340425531914
img_002664.jpg,128,46,2.782608695652174
img_013490.jpg,133,46,2.891304347826087
img_001595.jpg,134,50,2.68
img_013069.jpg,102,36,2.8333333333333335
img_003038.jpg,128,46,2.782608695652174
img_002588.jpg,124,45,2.7555555555555555
img_012513.jpg,110,38,2.8947368421052633
img_004598.jpg,138,48,2.875
img_010636.jpg,126,44,2.8636363636363638
img_003994.jpg,109,40,2.725
img_004038.jpg,141,48,2.9375
img_013550.jpg,107,39,2.7435897435897436
img_004459.jpg,125,47,2.6595744680851063
img_012510.jpg,121,42,2.880952380952381
img_003990.jpg,116,43,2.697674418604651
img_002661.jpg,124,46,2.6956521739130435
img_000676.jpg,122,41,2.975609756097561
img_004680.jpg,142,49,2.8979591836734695
img_012461.jpg,135,48,2.8125
img_010348.jpg,127,44,2.8863636363636362
img_010112.jpg,134,46,2.9130434782608696
img_000997.jpg,147,52,2.826923076923077
img_004345.jpg,136,48,2.8333333333333335
img_014354.jpg,141,47,3.0
img_011086.jpg,121,42,2.880952380952381
img_003219.jpg,91,34,2.676470588235294
img_013616.jpg,121,45,2.688888888888889
img_012415.jpg,130,45,2.888888888888889
img_010843.jpg,126,42,3.0
img_011217.jpg,127,45,2.8222222222222224
img_010284.jpg,107,39,2.7435897435897436
img_003794.jpg,125,45,2.7777777777777777
img_003539.jpg,135,49,2.7551020408163267
img_013073.jpg,126,44,2.8636363636363638
img_012760.jpg,131,47,2.7872340425531914
img_004611.jpg,137,47,2.9148936170212765
img_002215.jpg,140,51,2.7450980392156863
img_002623.jpg,107,41,2.6097560975609757
img_013902.jpg,133,49,2.7142857142857144
img_000070.jpg,130,44,2.9545454545454546
img_011105.jpg,137,49,2.795918367346939
img_003167.jpg,123,44,2.7954545454545454
img_013637.jpg,99,36,2.75
img_003200.jpg,96,35,2.742857142857143
img_004562.jpg,141,52,2.7115384615384617
img_013063.jpg,126,43,2.9302325581395348
img_003566.jpg,141,47,3.0
img_011945.jpg,127,45,2.8222222222222224
img_001928.jpg,117,44,2.659090909090909
img_003319.jpg,123,42,2.9285714285714284
img_011729.jpg,114,43,2.6511627906976742
img_010332.jpg,134,47,2.851063829787234
img_000277.jpg,130,47,2.765957446808511
img_000132.jpg,121,43,2.813953488372093
img_012556.jpg,105,36,2.9166666666666665
img_011183.jpg,116,41,2.8292682926829267
img_010893.jpg,124,42,2.9523809523809526
img_012713.jpg,124,41,3.024390243902439
img_001042.jpg,143,54,2.6481481481481484
img_014038.jpg,142,52,2.730769230769231
img_013002.jpg,127,43,2.953488372093023
img_013216.jpg,140,49,2.857142857142857
img_010608.jpg,131,45,2.911111111111111
img_002535.jpg,134,52,2.576923076923077
img_010221.jpg,118,38,3.1052631578947367
img_011523.jpg,131,44,2.977272727272727
img_001712.jpg,137,51,2.6862745098039214
img_000410.jpg,133,46,2.891304347826087
img_010721.jpg,129,44,2.9318181818181817
img_003242.jpg,132,46,2.869565217391304
img_014960.jpg,137,49,2.795918367346939
img_002340.jpg,130,48,2.7083333333333335
